procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  3      0 320412992 352312 49979960    0    0 463468     0 43740 28914  6 17 65 12  0
11  5      0 314878208 352316 54494652    0    0 476040    12 33286 26239  8 18 64 11  0
13  7      0 311306048 352320 57223728    0    0 511164     0 28416 17566  9 19 59 12  0
10  6      0 310172256 352320 58102044    0    0 505156     0 47778 15352  8 58 23 11  0
15  5      0 306035136 352280 63795792    0    0 297804     0 186637 310631  4 21 65  9  0
14  3      0 298236992 352280 71710928    0    0  3456     0 293416 795784  2 27 66  5  0
18  3      0 290822944 352280 79117368    0    0  2432     0 280649 679517  2 27 66  5  0
14  3      0 283421536 352284 86847008    0    0  3200    36 299622 843173  2 29 64  4  0
25  4      0 275617664 352284 94831584    0    0  3200     0 305947 939678  2 28 65  5  0
18  3      0 268925600 352284 101685664    0    0  3200     0 332254 1163081  2 28 65  5  0
 8  7      0 264739088 352284 105857928    0    0  3840     0 343704 1307840  1 27 65  7  0
12  7      0 262832240 352284 107787176    0    0  3840    28 340447 1384790  0 24 68  8  0
10  7      0 261417104 352284 109246784    0    0  3328     0 342047 1341328  1 22 69  8  0
 6  9      0 261036224 352284 110431200    0    0  4352     0 347527 1356287  0 22 70  8  0
 4  5      0 336939296 352320 111250032    0    0 390600     0 149647 395042  2 17 70 11  0
 7  6      0 335572320 352324 111427584    0    0 492080     0 39445 48103  8  5 76 11  0
 5  8      0 332459456 352328 112347264    0    0 484956     0 23404 18861  7  6 72 14  0
 4  8      0 328094432 352328 114963592    0    0 503720     0 23431 19720  4  9 73 14  0
 8  5      0 324076352 352328 118738928    0    0 490652     0 23467 18831  5  9 73 14  0
 4  7      0 320484160 352332 122355392    0    0 483396    84 23221 18512  4  9 73 14  0
 8  3      0 317340256 352332 125458504    0    0 474612     0 23539 21781  3  8 77 12  0
 6  8      0 313719936 352336 128577952    0    0 501036     0 19590 14848  5  7 74 14  0
 6 11      0 311291808 352340 131556560    0    0 551360     0 18111 12983  5  7 69 19  0
 5 12      0 310706720 352348 134471040    0    0 604364     0 23511 23047  5  7 64 24  0
11 12      0 308773952 352356 136845264    0    0 633808    48 21534 15469  6  8 61 24  0
 6 17      0 306188544 352364 139062576    0    0 681072     0 21110 14369  7  8 61 24  0
 5 18      0 327450464 352372 139522800    0    0 664364    72 21804 16964  6  7 62 25  0
